순위,name,date,money,pop,스크린수,상영횟수,대표국적,국적,배급사
188,지.아이.조 2,2013-03-28,"14,457,048,500","1,855,917",766,"62,627",미국,"미국,캐나다",씨제이이앤엠(주)
189,퍼시 잭슨과 번개 도둑,2010-02-11,"13,158,158,500","1,846,180",334,"43,667",미국,미국,이십세기폭스코리아(주)
190,해리포터와 아즈카반의 죄수,2004-07-16,"11,455,845,500","1,833,382",228,"21,666",미국,미국,워너브러더스 코리아(주)
191,투모로우,2004-06-03,"11,658,584,500","1,830,767",164,"22,881",미국,미국,이십세기폭스필름코퍼레이션
192,007 스펙터,2015-11-11,"14,302,132,030","1,820,842","1,105","51,941",영국,"영국,미국",유니버설픽쳐스인터내셔널 코리아(유)
193,엑스맨 : 최후의 전쟁,2006-06-15,"11,275,475,200","1,793,310",373,"38,570",미국,미국,이십세기폭스코리아(주)
194,분노의 질주: 더 맥시멈,2013-05-22,"13,210,338,042","1,790,916",657,"44,371",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
195,저스티스 리그,2017-11-15,"14,629,692,795","1,786,386","1,308","73,393",미국,미국,워너브러더스 코리아(주)
196,작전명 발키리,2009-01-22,"11,875,231,500","1,784,165",372,"36,947",미국,"미국,독일",이십세기폭스코리아(주)
197,나를 찾아줘,2014-10-23,"14,017,716,731","1,764,233",689,"50,846",미국,미국,이십세기폭스코리아(주)
198,걸리버 여행기,2011-01-27,"16,441,365,500","1,762,071",527,"41,181",미국,미국,이십세기폭스코리아(주)
199,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,"13,919,424,723","1,758,891","1,453","56,432",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
200,벤자민 버튼의 시간은 거꾸로 간다,2009-02-12,"11,483,704,300","1,747,305",313,"40,262",미국,미국,"(주)일레븐엔터테인먼트,워너브러더스 코리아(주)"
